Periodo,INPC_Quincenal,INPC_Anual,Subyacente_Quincenal,Subyacente_Anual,No_subyacente_Quincenal,No_subyacente_Anual
Q05-10,0.46,,0.18,,,
Q06-10,0.16,,0.19,,,
Q07-10,-0.31,,-0.03,,,
Q08-10,-0.18,,0.09,,,
Q09-10,-0.54,,0.17,,,
Q10-10,0.0,,0.07,,,
Q11-10,-0.04,,0.03,,,
Q12-10,0.03,,0.14,,,
Q13-10,0.15,,0.13,,,
Q14-10,0.11,,-0.02,,,
Q15-10,0.16,,0.09,,,
Q16-10,0.13,,0.04,,,
Q17-10,0.4,,0.34,,,
Q18-10,0.11,,0.03,,,
Q19-10,0.48,,0.18,,,
Q20-10,0.15,,0.12,,,
Q21-10,0.68,,0.16,,,
Q22-10,0.08,,0.07,,,
Q23-10,0.19,,0.3,,,
Q24-10,0.52,,0.27,,,
Q01-11,0.17,,0.21,,,
Q02-11,0.11,,0.23,,,
Q03-11,0.21,,0.22,,,
Q04-11,0.23,,0.12,,,
Q05-11,0.05,,0.24,,,
Q06-11,0.05,,0.0,,,
Q07-11,-0.09,,0.05,,,
Q08-11,0.11,,0.05,,,
Q09-11,-0.75,,0.07,,,
Q10-11,-0.09,,0.16,,,
Q11-11,-0.05,,0.04,,,
Q12-11,0.19,,0.15,,,
Q13-11,0.32,,0.14,,,
Q14-11,0.14,,0.02,,,
Q15-11,0.09,,0.09,,,
Q16-11,0.0,,0.05,,-0.14,
Q17-11,0.21,,0.22,,0.19,
Q18-11,0.06,,0.05,,0.1,
Q19-11,0.61,,0.2,,2.03,
Q20-11,0.06,,0.06,,0.07,
Q21-11,0.97,,0.25,,3.41,
Q22-11,0.17,,0.09,,0.43,
Q23-11,0.51,,0.35,,1.03,
Q24-11,0.46,,0.23,,1.22,
Q01-12,0.32,,0.2,,0.71,
Q02-12,0.32,,0.27,,0.45,
Q03-12,0.07,,0.26,,-0.54,
Q04-12,-0.05,,0.06,,-0.39,
Q05-12,0.05,,0.16,,-0.33,
Q06-12,0.07,,0.1,,-0.06,
Q07-12,-0.42,,0.03,,-1.88,
Q08-12,0.14,,0.14,,0.14,
Q09-12,-0.48,,0.14,,-2.55,
Q10-12,0.18,,0.1,,0.46,
Q11-12,0.24,,0.1,,0.72,
Q12-12,0.25,,0.12,,0.69,
Q13-12,0.39,,0.2,,1.02,
Q14-12,0.09,,0.09,,0.09,
Q15-12,0.14,,0.16,,0.07,
Q16-12,0.24,,0.05,,0.88,
Q17-12,0.25,,0.12,,0.68,
Q18-12,0.14,,0.07,,0.39,
Q19-12,0.45,,0.17,,1.38,
Q20-12,-0.03,,0.05,,-0.3,
Q21-12,0.79,,0.18,,2.79,
Q22-12,-0.18,,-0.3,,0.2,
Q23-12,0.27,,0.26,,0.32,
Q24-12,0.1,,0.03,,0.31,
Q01-13,0.15,,0.18,,0.08,
Q02-13,0.4,,0.47,,0.19,
Q03-13,0.24,,0.24,,0.22,
Q04-13,0.11,,0.07,,0.25,
Q05-13,0.52,,0.26,,1.36,
Q06-13,0.31,,0.02,,1.21,
Q07-13,-0.09,,0.05,,-0.56,
Q08-13,0.01,,0.03,,-0.08,
Q09-13,-0.35,,0.14,,-1.93,
Q10-13,0.02,,0.08,,-0.17,
Q11-13,-0.05,,0.07,,-0.44,
Q12-13,-0.05,,0.04,,-0.33,
Q13-13,0.0,,0.04,,-0.12,
Q14-13,-0.02,,-0.04,,0.05,
Q15-13,0.26,,0.1,,0.78,
Q16-13,0.07,,0.01,,0.25,
Q17-13,0.34,,0.3,,0.46,
Q18-13,0.01,,0.03,,-0.06,
Q19-13,0.4,,0.14,,1.28,
Q20-13,0.14,,0.08,,0.32,
Q21-13,0.85,,0.11,,3.27,
Q22-13,0.02,,-0.03,,0.21,
Q23-13,0.4,,0.3,,0.71,
Q24-13,0.32,,0.08,,1.07,
Q01-14,0.68,,0.69,,0.63,
Q02-14,0.12,,0.24,,-0.28,
Q03-14,0.12,,0.12,,0.12,
Q04-14,0.15,,0.08,,0.36,
Q05-14,0.17,,0.11,,0.38,
Q06-14,0.05,,0.13,,-0.2,
Q07-14,-0.19,,0.26,,-1.59,
Q08-14,-0.05,,-0.07,,0.02,
Q09-14,-0.37,,0.06,,-1.72,
Q10-14,0.15,,0.15,,0.15,
Q11-14,0.08,,0.12,,-0.03,
Q12-14,0.04,,0.04,,0.01,
Q13-14,0.2,,0.14,,0.38,
Q14-14,0.12,,0.05,,0.34,
Q15-14,0.19,,0.15,,0.33,
Q16-14,0.22,,0.08,,0.67,
Q17-14,0.32,,0.24,,0.6,
Q18-14,0.02,,0.03,,-0.03,
Q19-14,0.5,,0.12,,1.72,
Q20-14,0.09,,0.07,,0.16,
Q21-14,0.74,,0.13,,2.66,
Q22-14,0.04,,0.0,,0.18,
Q23-14,0.41,,0.21,,1.04,
Q24-14,0.11,,0.05,,0.29,
Q01-15,-0.19,,-0.09,,-0.48,
Q02-15,0.09,,0.07,,0.13,
Q03-15,0.11,,0.28,,-0.42,
Q04-15,0.08,,0.05,,0.19,
Q05-15,0.18,,0.15,,0.28,
Q06-15,0.37,,0.18,,0.95,
Q07-15,-0.45,,0.03,,-1.89,
Q08-15,0.02,,0.08,,-0.17,
Q09-15,-0.53,,0.03,,-2.27,
Q10-15,0.04,,0.08,,-0.09,
Q11-15,0.13,,0.13,,0.15,
Q12-15,0.03,,0.08,,-0.15,
Q13-15,0.09,,0.1,,0.08,
Q14-15,0.08,,0.06,,0.13,
Q15-15,0.12,,0.12,,0.09,
Q16-15,0.11,,0.09,,0.17,
Q17-15,0.32,,0.27,,0.48,
Q18-15,0.0,,0.1,,-0.34,
Q19-15,0.46,,0.16,,1.44,
Q20-15,0.11,,0.09,,0.18,
Q21-15,0.52,,0.0,,2.15,
Q22-15,-0.06,,-0.02,,-0.17,
Q23-15,0.26,,0.27,,0.21,
Q24-15,0.36,,0.09,,1.18,
Q01-16,0.03,,0.08,,-0.13,
Q02-16,0.35,,0.14,,1.0,
Q03-16,0.29,,0.23,,0.47,
Q04-16,-0.05,,0.12,,-0.57,
Q05-16,0.1,,0.3,,-0.52,
Q06-16,0.15,,-0.01,,0.64,
Q07-16,-0.34,,0.15,,-1.84,
Q08-16,-0.09,,0.16,,-0.86,
Q09-16,-0.48,,0.08,,-2.26,
Q10-16,0.17,,0.11,,0.36,
Q11-16,0.02,,0.16,,-0.42,
Q12-16,0.01,,0.08,,-0.21,
Q13-16,0.28,,0.11,,0.81,
Q14-16,-0.04,,0.04,,-0.29,
Q15-16,0.31,,0.13,,0.9,
Q16-16,-0.02,,0.08,,-0.36,
Q17-16,0.54,,0.36,,1.1,
Q18-16,0.17,,0.15,,0.23,
Q19-16,0.49,,0.17,,1.54,
Q20-16,0.06,,0.08,,-0.01,
Q21-16,0.77,,0.23,,2.47,
Q22-16,-0.04,,-0.1,,0.14,
Q23-16,0.42,,0.47,,0.26,
Q24-16,0.13,,0.05,,0.36,
Q01-17,1.51,,0.37,,5.03,
Q02-17,0.24,,0.37,,-0.14,
Q03-17,0.33,,0.46,,-0.04,
Q04-17,0.25,,0.23,,0.3,
Q05-17,0.35,,0.31,,0.47,
Q06-17,0.28,,0.29,,0.24,
Q07-17,-0.15,,0.26,,-1.38,
Q08-17,0.27,,0.08,,0.85,
Q09-17,-0.34,,0.15,,-1.8,
Q10-17,0.17,,0.17,,0.16,
Q11-17,0.15,,0.17,,0.09,
Q12-17,0.03,,0.1,,-0.17,
Q13-17,0.24,,0.19,,0.39,
Q14-17,0.25,,0.06,,0.82,
Q15-17,0.31,,0.2,,0.64,
Q16-17,0.12,,0.05,,0.33,
Q17-17,0.34,,0.28,,0.53,
Q18-17,-0.17,,-0.04,,-0.58,
Q19-17,0.62,,0.21,,1.86,
Q20-17,0.19,,0.13,,0.39,
Q21-17,0.92,,0.28,,2.79,
Q22-17,0.04,,0.0,,0.13,
Q23-17,0.44,,0.43,,0.46,
Q24-17,0.28,,-0.02,,1.11,
Q01-18,0.24,,0.17,,0.43,
Q02-18,0.31,,0.24,,0.49,
Q03-18,0.2,,0.3,,-0.06,
Q04-18,0.04,,0.14,,-0.22,
Q05-18,0.29,,0.24,,0.46,
Q06-18,0.01,,0.05,,-0.1,
Q07-18,-0.35,,0.07,,-1.53,
Q08-18,0.0,,0.1,,-0.28,
Q09-18,-0.29,,0.13,,-1.51,
Q10-18,0.26,,0.16,,0.54,
Q11-18,0.13,,0.08,,0.3,
Q12-18,0.25,,0.14,,0.54,
Q13-18,0.32,,0.19,,0.71,
Q14-18,0.18,,0.05,,0.56,
Q15-18,0.34,,0.18,,0.86,
Q16-18,0.3,,0.09,,0.93,
Q17-18,0.22,,0.19,,0.33,
Q18-18,0.1,,0.18,,-0.13,
Q19-18,0.4,,0.17,,1.1,
Q20-18,0.14,,0.1,,0.24,
Q21-18,0.61,,0.19,,1.89,
Q22-18,0.33,,0.02,,1.27,
Q23-18,0.56,,0.42,,0.97,
Q24-18,-0.06,,0.07,,-0.43,
Q01-19,0.11,,0.08,,0.19,
Q02-19,0.01,,0.16,,-0.45,
