Periodo,Personal_ocupado,Remuneraciones_totales,Ingresos_totales,Gastos_consumo_b_y_s,Transporte_correos_Anual,Info_medios_masivos_Anual,Inmobiliarios_alquiler_Anual,Profesionales_cientificos_Anual,Apoyo_negocios_residuos_Anual,Educativos_Anual,Salud_asistencia_Anual,Esparcimiento_culturales_Anual,Alojamiento_alimentos_Anual,Otros_servicios_Anual
mar-11,-0.18,-0.71,-0.76,-1.61,11.35,-1.76,-18.66,-5.99,3.72,0.97,-12.35,-6.37,-9.44,
abr-11,0.42,1.03,1.45,4.01,13.73,1.08,-11.36,-4.76,5.09,1.8,-5.04,1.26,-4.47,
may-11,0.21,1.25,0.19,0.84,11.62,-2.17,-12.35,-3.33,3.66,1.22,-7.36,2.95,-6.96,
jun-11,0.25,-0.88,-0.27,1.71,13.06,-2.64,-15.13,5.23,3.21,-5.84,-8.41,0.53,-6.08,
jul-11,0.33,0.24,0.43,0.3,11.6,-1.02,-15.69,4.87,2.81,-3.79,-5.41,-1.23,-4.7,
ago-11,0.06,0.67,0.84,2.07,6.8,-1.51,-16.54,7.29,3.98,-0.79,-3.89,-0.23,-4.21,
sep-11,0.21,-0.42,2.77,0.09,5.69,2.94,5.58,13.43,7.98,-0.86,-5.15,-1.49,-0.27,
oct-11,0.12,1.18,-3.3,0.23,5.24,-0.32,-1.6,1.49,3.51,-5.39,-6.7,4.6,0.29,
nov-11,-0.12,-1.46,0.16,1.21,7.01,-4.02,-3.12,-5.23,2.91,-0.92,-6.1,6.2,1.83,
dic-11,-0.44,-1.18,-1.63,3.63,6.49,-1.9,3.1,-8.14,3.4,-3.79,-5.92,6.6,2.82,
ene-12,1.94,0.49,3.49,-5.53,9.28,-2.77,2.81,-5.43,6.25,-1.56,1.71,18.77,5.67,
feb-12,0.39,-0.09,-1.2,0.06,3.66,2.73,0.43,-8.15,9.18,-2.99,-1.97,-1.27,7.3,
mar-12,0.06,1.11,0.02,-1.44,2.09,4.19,-3.44,-2.21,5.65,-3.01,5.33,11.7,6.01,
abr-12,-0.16,3.85,0.51,-0.17,4.08,0.34,2.54,-6.5,6.13,-3.11,1.35,7.1,6.26,
may-12,0.26,-6.04,-0.84,1.12,1.18,3.41,-2.12,-9.26,5.89,-12.84,1.04,1.27,5.59,
jun-12,0.59,2.3,2.34,3.08,3.17,7.05,-0.32,-5.72,6.54,1.96,3.3,17.08,7.68,
jul-12,-0.42,-0.36,-0.72,-2.07,6.01,6.0,-6.26,1.19,-0.38,1.29,0.9,10.13,6.55,
ago-12,-0.11,0.49,0.0,0.3,3.47,5.12,9.15,-9.24,5.77,-2.23,7.75,-2.51,5.84,
sep-12,0.82,-0.28,1.84,3.26,2.83,3.94,-17.89,-11.1,4.93,0.26,3.11,-1.96,3.31,
oct-12,-0.41,0.47,-0.06,-0.34,-0.76,5.39,0.14,4.91,7.5,-2.6,5.91,-6.69,2.54,
nov-12,-0.03,0.82,1.48,4.88,0.74,15.91,6.37,4.53,4.99,-5.82,5.95,-8.63,3.44,
dic-12,-0.85,-1.72,-1.69,-4.93,0.67,11.45,0.2,0.52,10.5,-2.7,3.83,-3.83,0.79,
ene-13,-0.06,3.63,-0.05,1.99,-4.53,12.41,-12.56,-2.4,4.97,2.01,8.34,-7.74,7.8,
feb-13,0.0,-0.3,1.35,1.01,-1.22,2.6,0.23,1.78,2.67,1.42,11.59,0.9,9.63,
mar-13,0.19,-0.94,-0.96,-2.47,0.89,1.93,8.29,-4.18,1.78,2.9,6.75,-4.41,9.46,
abr-13,-0.18,3.64,1.42,2.07,-3.68,6.42,4.62,-1.18,2.13,1.79,10.41,-9.85,7.82,
may-13,0.04,-2.72,-0.36,0.5,-1.76,-2.15,13.27,3.46,2.49,15.74,6.65,-13.56,13.3,
jun-13,-0.36,1.04,0.03,-1.22,-5.61,0.04,12.34,0.86,0.64,4.96,5.47,-20.93,11.03,
jul-13,0.3,-0.13,0.32,0.81,-5.86,-0.16,21.69,1.13,6.47,2.04,6.6,-12.44,10.48,
