Periodo,Trimestral,Anual,Primarias_Trimestral,Primarias_Anual,Secundarias_Trimestral,Secundarias_Anual,Terciarias_Trimestral,Terciarias_Anual,Mineria_Anual,Energia_agua_gas_Anual,Construccion_Anual,Manufacturas_Anual,Comercio_mayoreo_Anual,Comercio_menudeo_Anual,Transportes_Anual,Servicios_financieros_Anual,Servicios_inmobiliarios_Anual,Servicios_profesionales_Anual,Actividades_gubernamentales_Anual,Demanda_consumo_privado_Anual,Demanda_consumo_gobierno_Anual,Demanda_FBCF_total_Anual,Demanda_FBCF_privada_Anual,Demanda_FBCF_publica_Anual,Demanda_export_byserv_Anual,Demanda_import_byserv_Anual,Demanda_consumo_privado_Trimestral,Demanda_consumo_gobierno_Trimestral,Demanda_FBCF_total_Trimestral,Demanda_export_byserv_Trimestral,Demanda_import_byserv_Trimestral
T1-00,1.6739,4.81,9.1252,-3.31,3.1796,4.83,2.9578,5.8,0.88,5.33,1.13,7.13,5.71,10.53,7.85,11.03,4.11,8.15,4.98,8.8,4.66,4.57,2.46,18.74,11.79,21.39,2.77,1.98,2.63,4.0,6.21
T2-00,1.5901,5.38,-4.1927,5.36,1.3507,5.77,1.5272,5.51,5.35,2.49,1.8,7.09,5.18,9.75,7.62,8.5,3.94,6.82,3.98,8.91,3.1,6.59,3.14,32.02,18.01,19.2,1.85,-0.1,1.73,5.74,4.23
T3-00,0.7209,5.54,-4.8341,-3.9,0.6686,6.17,-0.3608,5.38,4.58,-1.51,1.5,8.6,6.3,9.31,7.99,4.21,3.78,5.6,3.14,8.58,2.46,7.03,2.96,36.13,15.62,22.25,1.98,-0.13,-0.07,1.8,6.5
T4-00,0.0399,3.32,6.591,6.05,-2.7576,2.37,-2.2642,4.23,1.79,-6.24,-3.94,5.02,5.33,5.91,6.07,-0.47,3.7,4.15,2.51,7.87,1.73,1.68,-0.3,14.79,14.4,19.19,1.05,-0.02,-2.53,2.19,1.1
T1-01,-0.4474,1.9,0.1617,-2.66,1.2767,0.48,4.2726,1.9,3.09,-10.05,-9.38,2.94,2.32,2.18,3.41,2.64,3.94,2.35,-6.85,5.72,-3.01,-5.06,-5.55,-2.23,12.88,10.16,0.72,-2.77,-4.18,2.62,-1.84
T2-01,-0.4219,-0.16,4.1922,5.86,-2.1075,-2.95,-1.9707,0.54,-0.46,-11.25,-11.8,-0.84,1.17,-0.15,1.72,3.19,4.01,1.31,-6.82,3.61,-2.8,-8.93,-10.32,-1.42,2.76,3.85,-0.17,0.12,-2.42,-3.73,-1.73
T3-01,-0.5416,-1.44,0.1381,11.39,-0.1162,-3.7,2.3539,-0.71,2.25,-5.9,-4.8,-5.06,-1.39,-2.53,-0.99,7.32,3.52,1.52,-5.65,1.63,-2.14,-7.11,-6.62,-10.15,-0.68,-5.91,0.03,0.55,1.92,-1.62,-3.51
T4-01,-0.748,-1.18,2.3293,6.94,-1.3712,-2.33,-0.5252,-1.3,4.07,6.92,-4.47,-3.92,-3.94,-2.85,-1.88,9.53,3.51,1.33,-3.88,1.26,-2.06,-6.26,-9.22,10.76,-5.73,-5.47,0.68,0.06,-1.65,-3.0,1.57
T1-02,-0.3404,-2.44,-4.4155,2.05,-1.2555,-4.77,-2.3756,-1.18,-2.56,18.57,-4.62,-6.62,-3.4,-2.94,-2.41,7.34,2.2,-0.49,0.11,0.73,0.38,-4.02,-8.07,18.1,-6.64,-1.14,0.19,-0.35,-1.88,1.63,2.65
T2-02,0.7467,-0.61,0.358,-1.7,0.5652,-2.17,0.7678,0.48,0.16,31.13,-0.99,-4.22,-1.3,2.74,-0.47,9.04,1.51,0.28,1.82,2.22,-0.05,-0.53,-4.18,17.53,2.78,2.88,1.3,-0.31,1.13,5.97,2.27
