Periodo,Personal_ocupado,Remuneraciones_totales,Ingresos_totales,Gastos_consumo_b_y_s,Transporte_correos_Anual,Info_medios_masivos_Anual,Inmobiliarios_alquiler_Anual,Profesionales_cientificos_Anual,Apoyo_negocios_residuos_Anual,Educativos_Anual,Salud_asistencia_Anual,Esparcimiento_culturales_Anual,Alojamiento_alimentos_Anual,Otros_servicios_Anual
may-16,0.23,0.37,-0.63,0.9,9.27,8.71,-12.43,6.11,-1.98,-0.63,5.83,1.24,-8.96,
jun-16,-0.08,-0.83,0.7,0.19,10.37,5.82,-1.6,-1.66,-4.28,1.19,5.33,2.58,-4.88,
jul-16,-0.11,0.89,0.77,-3.24,10.08,7.65,15.92,-3.73,-3.01,-0.41,6.83,6.15,-6.16,
ago-16,-0.13,0.16,-2.29,5.8,7.91,3.26,-10.94,4.34,-2.7,-1.16,3.99,-4.47,-5.5,
sep-16,0.35,0.16,2.65,0.67,8.64,4.64,28.03,5.53,-4.83,-2.41,2.47,-5.36,0.14,
oct-16,0.27,-0.85,-0.08,0.73,6.82,5.31,17.9,-0.27,5.93,-2.1,2.16,-6.55,-4.02,
nov-16,0.04,0.13,-0.85,-7.2,10.95,-0.18,-5.74,14.61,-2.86,-1.07,1.26,-4.83,-0.6,
dic-16,-0.12,0.83,1.29,6.42,17.75,7.56,1.34,2.14,-1.22,-2.6,0.01,7.88,-0.11,
ene-17,-0.21,-2.23,-1.18,2.33,8.54,6.01,3.86,7.94,0.84,-2.7,1.39,-2.48,-0.35,
feb-17,0.61,-1.2,0.28,-2.27,-0.31,9.85,-7.13,-2.88,-3.55,-1.33,-0.48,1.49,1.54,
mar-17,-0.26,1.58,0.28,1.31,3.78,7.31,-13.12,-0.2,-3.22,-2.44,1.85,2.84,0.6,
abr-17,-0.12,-1.76,-0.57,0.47,4.37,12.2,-7.34,-3.79,-7.36,-4.83,1.95,-1.43,2.58,
may-17,0.35,0.69,-0.38,-0.1,0.77,1.71,-6.99,1.93,0.18,-5.01,3.18,-4.85,3.67,
jun-17,0.06,-0.09,0.76,0.77,0.3,4.92,-2.37,3.3,2.68,-4.0,4.91,-12.73,-1.32,
jul-17,0.16,0.04,-1.02,0.11,0.77,2.84,-22.97,3.83,1.9,-3.28,2.03,-6.67,-2.99,
ago-17,0.17,-0.65,-0.68,-2.04,-0.97,6.45,2.58,-6.02,4.45,-5.34,3.21,-3.84,-3.96,
sep-17,-0.54,-0.57,1.0,0.31,-0.98,13.73,-19.52,-5.02,2.39,-5.48,6.13,-8.26,-9.98,
oct-17,-0.11,-0.66,-0.36,-4.03,2.34,5.7,-17.64,-0.38,-1.23,-3.4,5.51,1.57,-7.61,
nov-17,-0.27,-0.19,1.43,4.89,4.04,10.08,12.76,-8.56,1.46,-4.1,5.29,2.08,-9.25,
dic-17,2.11,0.35,-0.24,1.19,-3.5,1.34,6.42,-0.14,9.87,-1.9,3.83,-14.61,-10.62,
ene-18,-0.5,0.39,-0.36,0.6,-7.42,1.77,-9.44,-7.93,2.92,1.59,7.83,1.63,3.04,
feb-18,-0.01,0.08,0.07,0.51,-6.27,0.95,-4.42,-8.14,2.27,3.54,6.57,-6.82,0.98,
mar-18,0.41,-0.62,-0.74,0.42,-7.27,-1.37,5.17,-3.42,6.82,4.43,5.69,-4.96,-0.59,
abr-18,0.26,2.18,3.81,0.31,-3.22,-1.63,7.38,-6.39,9.2,5.64,2.03,-7.95,2.02,
