Periodo,Tasa_participacion_Total,Tasa_participacion_Hombres,Tasa_participacion_Mujeres,Tasa_subocupacion,Tasa_desocupacion_Total,Tasa_desocupacion_Hombres,Tasa_desocupacion_Mujeres,Tasa_informalidad,Tasa_ocupacion_Total,Tasa_ocupacion_parcial_Total,Tasa_participacion_urbana,Tasa_desocupacion_urbana,Tasa_subocupacion_urbana,Tasa_informalidad_urbana
ene-08,60.46,80.5,42.71,6.75,3.89,3.8,4.01,57.83,96.11,10.33,61.96,4.94,5.83,45.89
feb-08,60.63,80.43,43.37,6.6,3.64,3.47,3.99,58.1,96.36,9.99,62.51,4.74,5.92,46.98
mar-08,60.41,80.12,43.13,6.6,3.7,3.54,4.0,57.62,96.3,10.31,62.14,4.62,6.25,45.77
abr-08,60.96,80.6,43.37,6.81,3.6,3.4,3.98,58.88,96.4,9.66,62.39,4.53,6.83,46.59
may-08,59.93,79.88,42.42,6.67,3.65,3.48,3.94,57.63,96.35,9.46,62.23,4.41,5.37,47.11
jun-08,60.19,80.28,42.57,7.02,3.65,3.33,4.06,57.91,96.35,9.62,62.18,4.4,6.4,46.67
jul-08,59.79,80.22,41.97,7.0,3.85,3.82,3.94,57.83,96.15,10.01,61.4,4.82,6.35,46.27
ago-08,60.01,80.01,42.36,6.15,3.81,3.87,3.65,58.56,96.19,9.31,61.24,4.87,5.07,47.12
sep-08,59.82,79.81,42.12,6.67,3.86,3.78,4.01,57.34,96.14,10.14,61.14,4.7,5.6,45.15
oct-08,59.24,79.47,41.34,6.63,3.96,4.11,3.59,57.8,96.04,10.3,61.08,4.92,5.91,46.28
nov-08,59.57,79.24,42.37,7.63,4.68,4.87,4.37,58.57,95.32,10.67,61.7,5.63,6.78,47.61
dic-08,59.28,78.61,41.85,8.01,4.51,4.31,5.0,58.41,95.49,9.82,60.62,5.91,7.13,46.38
ene-09,60.17,80.0,42.29,7.53,4.65,4.43,5.03,58.98,95.35,10.33,61.82,5.85,7.65,47.84
feb-09,59.73,79.43,42.41,7.98,5.0,5.12,4.85,59.29,95.0,10.98,61.21,6.12,7.25,47.4
mar-09,58.94,78.45,41.37,8.31,5.04,5.25,4.78,59.22,94.96,10.47,60.78,6.24,7.77,47.21
abr-09,59.23,78.59,41.78,11.36,5.33,5.63,4.93,59.27,94.67,11.7,61.47,6.89,13.79,47.88
may-09,59.6,79.01,42.4,13.23,5.66,5.9,5.27,59.45,94.34,11.6,61.12,7.23,14.33,47.21
jun-09,59.29,78.33,42.01,9.19,5.46,5.61,5.02,59.42,94.54,11.08,61.26,6.47,8.22,47.62
jul-09,59.68,78.82,42.63,7.94,5.62,5.57,5.71,60.11,94.38,11.42,61.66,6.9,8.07,48.51
ago-09,60.98,79.06,44.82,9.19,5.74,5.36,6.19,59.57,94.26,12.17,62.09,6.99,8.27,47.65
sep-09,60.68,79.11,44.14,9.09,5.9,5.63,6.28,59.97,94.1,12.97,62.11,7.37,8.31,47.51
oct-09,60.66,79.49,43.69,8.76,5.59,5.55,5.57,60.1,94.41,12.71,61.97,6.9,7.75,49.18
nov-09,60.36,79.22,43.47,8.9,5.36,5.4,5.3,59.52,94.64,12.19,61.43,6.29,8.12,47.96
dic-09,60.38,79.16,43.42,9.47,5.27,5.37,5.21,59.8,94.73,11.23,61.71,6.22,8.09,48.52
ene-10,60.2,79.09,43.37,9.71,5.52,5.72,5.22,59.6,94.48,12.02,61.97,6.97,9.41,48.27
feb-10,59.44,78.31,42.48,9.57,5.23,5.31,5.09,59.14,94.77,11.76,60.93,6.27,8.13,47.88
mar-10,60.24,79.45,43.25,8.7,5.27,5.19,5.42,59.66,94.73,11.03,61.66,6.32,7.26,48.34
abr-10,60.44,79.43,43.24,9.09,5.46,5.53,5.45,60.73,94.54,12.05,62.38,6.56,8.09,48.83
may-10,60.27,79.37,43.13,9.1,5.26,5.19,5.4,59.61,94.74,12.01,61.68,6.28,8.05,48.47
